X	Y	Z
3215.892	10320.278	-36.645
5163.654	17806.949	-20.824
5941.804	7600.551	4.941
6366.311	6360.143	-0.215
6852.675	12132.729	32.573
7323.666	3350.46	35.406
7162.637	13691.368	30.552
7151.961	21827.273	8.181
7253.393	4005.42	28.543
8190.137	11825.775	48.694
8252.843	21644.145	60.295
8513.729	23733.555	10.348
9030.104	3527.491	126.447
9154.853	11602.747	30.066
9385.746	6272.896	132.809
9715.753	5036.264	53.236
10348.16	8460.54	8.869
10801.649	6120.83	83.376
10842.559	16357.923	78.509
11133.838	4582.789	138.261
11197.966	19684.672	248.749
11537.058	17217.621	113.717
11986.046	2935.27	15.416
12076.24	11338.132	59.594
12020.039	14478.626	153.453
12466.028	4902.523	45.26
12485.791	18181.768	134.652
12860.271	12539.935	134.087
12823.159	22922.088	110.971
13080.385	26943.959	-31.732
16436.379	15801.242	70.452
17000.514	8218.736	161.233
17309.453	13894.298	101.719
17496.594	16515.859	97.02
17818.154	8177.613	73.829
19181.555	23323.695	76.317
19495.633	10769.682	646.948
19833.123	25470.65	0.187
20510.771	12662.839	69.385
20538.098	22669.311	4.295
20646.725	27052.373	34.184
21249.637	16606.174	206.15
21608.434	15231.579	178.17
21770.514	13244.039	49.598
22867.303	18183.408	16.909
23060.959	25607.68	-16.71
23417.111	20826.09	85.268
24354.072	24117.391	-32.014
24346.947	21557.217	34.919
24852.346	16444.324	54.326
24903.316	22082.047	77.271
25372.773	12550.407	357.859
25822.992	20973.695	100.205
26169.949	15828.796	116.747
26401.08	24338.357	122.252
27555.658	19318.582	0.877
6384.152	10090.04	24.379
7029.623	4067.92	25.462
7235.468	15991.762	110.671
7328.18	3353.024	-12.437
7450.867	14789.748	102.963
8272.803	21615.4	25.294
8339.223	16833.92	74.394
8512.503	23730.785	16.411
8993.433	17736.004	165.603
9725.973	2924.991	66.582
11255.75	11955.343	66.292
11190.477	25271.031	47.273
11906.415	9904.141	84.53
12013.554	14490.424	192.98
12352.042	18157.898	127.033
12478.924	23352.68	74.2
12500.021	17896.461	221.777
13086.702	26931.775	85.614
14281.787	22279.658	82.57
14867.194	23503.738	97.654
15597.981	22716.084	128.699
15993.677	7955.843	106.946
16648.684	21986.855	79.191
17716.439	8305.188	117.312
18020.428	16535.4	72.362
18171.111	26946.676	29.822
18258.369	25639.414	39.561
18817.545	19094.369	82.723
18752.887	23313.67	46.004
19266.182	9688.915	206.407
19174.568	15705.104	231.04
19797.061	17585.918	-14.282
20647.264	27022.207	57.242
21631.613	15259.037	278.037
21982.166	15860.361	225.324
21928.34	21078.135	18.608
22055.365	9333.04	284.574
22321.168	21584.672	95.493
23058.354	25626.984	-8.767
23452.879	13205.181	255.418
23390.494	20820.318	30.785
23581.711	18720.752	111.568
24211.127	11644.829	101.419
24327.01	21557.799	47.124
24351.607	24113.219	8.831
24450.264	14095.431	151.291
24385.5	15069.691	107.51
26379	18240.17	111.083
26781.115	21972.66	198.367
27468.938	22097.08	64.355
27638.48	20491.992	52.881
28844.227	18862.344	228.441
3219.677	10323.086	88.418
5923.372	11811.903	-30.674
6109.757	20362.352	22.887
7377.122	8439.772	69.489
7233.116	16989.227	70.367
7324.529	3350.19	1.105
7296.229	16033.099	156.153
7623.172	14166.821	54.887
7793.867	20413.477	-7.866
8272.229	21629.156	26.747
8485.104	23244.211	9.306
8673.839	11659.496	171.768
8798.46	15314.875	123.105
8880.161	10616.021	69.255
9710.811	2930.625	34.243
10506.761	18126.203	152.331
11197.581	18906.545	121.762
11137.691	24668.014	37.318
11948.327	2597.958	228.837
12474.262	23342.072	78.34
12547.454	9673.932	118.685
12618.609	10711.062	320.901
12869.812	12511.236	146.648
13275.968	22251.578	92.723
13759.099	27179.336	78.265
14069.248	5725.778	40.898
15074.883	22024.588	75.254
15019.635	23330.574	83.595
15730.935	10425.012	55.018
15760.769	21369.289	153.443
16231.802	6733.278	187.681
16348.111	15923.653	51.016
16413.959	27290.613	7.755
17642.605	16544.252	69.74
18231.066	21390.713	48.218
18625.816	17346.406	9.252
18969.062	11411.766	225.782
18813.672	19103.818	100.969
19166.547	6571.084	54.106
19087.15	26877.039	68.427
19527.082	11770.459	156.506
19585.562	20183.559	-5.212
20526.117	7586.077	51.995
20409.123	16805.883	127.665
20389.238	21991.395	82.19
21627.203	11567.669	257.688
23276.398	11664.794	238.251
23455.061	13213.945	65.726
23410.145	20824.449	161.826
24460.424	14090.729	134.523
24688.486	16546.449	4.727
25818.184	21029.342	35.606
27471.389	22097.375	41.976
27585.73	20545.371	31.605
27627.238	17237.824	59.64
3215.888	10323.084	577.142
4199.597	11202.813	170.874
5988.208	18294.312	68.815
6119.896	20369.568	-7.133
6472.82	3271.37	104.158
6276.286	13200.565	-38.106
6793.265	14568.614	96.587
7012.703	8542.713	-42.473
7606.189	22814.693	-11.022
7782.833	20415.492	24.369
8494.276	4139.109	53.703
8935.997	15241.131	2.698
8915.799	9347.308	135.987
11259.628	18760.25	29.332
12169.792	7855.364	0.739
13039.243	21035.9	40.553
